FIPS	State	County	Variable	pcnt_free_lunch
12075	Florida	Levy	pcnt_free_lunch	61
12077	Florida	Liberty	pcnt_free_lunch	45
12079	Florida	Madison	pcnt_free_lunch	70
12081	Florida	Manatee	pcnt_free_lunch	48
12083	Florida	Marion	pcnt_free_lunch	55
12085	Florida	Martin	pcnt_free_lunch	35
12086	Florida	Miami-Dade	pcnt_free_lunch	62
12087	Florida	Monroe	pcnt_free_lunch	38
12089	Florida	Nassau	pcnt_free_lunch	36
12091	Florida	Okaloosa	pcnt_free_lunch	31
12093	Florida	Okeechobee	pcnt_free_lunch	63
12095	Florida	Orange	pcnt_free_lunch	50
12097	Florida	Osceola	pcnt_free_lunch	54
12099	Florida	Palm Beach	pcnt_free_lunch	46
12101	Florida	Pasco	pcnt_free_lunch	44
12103	Florida	Pinellas	pcnt_free_lunch	43
12105	Florida	Polk	pcnt_free_lunch	58
12107	Florida	Putnam	pcnt_free_lunch	73
12109	Florida	St. Johns	pcnt_free_lunch	20
12111	Florida	St. Lucie	pcnt_free_lunch	53
12113	Florida	Santa Rosa	pcnt_free_lunch	34
12115	Florida	Sarasota	pcnt_free_lunch	41
12117	Florida	Seminole	pcnt_free_lunch	33
12119	Florida	Sumter	pcnt_free_lunch	50
12121	Florida	Suwannee	pcnt_free_lunch	59
12123	Florida	Taylor	pcnt_free_lunch	62
12125	Florida	Union	pcnt_free_lunch	51
12127	Florida	Volusia	pcnt_free_lunch	48
12129	Florida	Wakulla	pcnt_free_lunch	40
12131	Florida	Walton	pcnt_free_lunch	44
12133	Florida	Washington	pcnt_free_lunch	54
13001	Georgia	Appling	pcnt_free_lunch	59
13003	Georgia	Atkinson	pcnt_free_lunch	67
13005	Georgia	Bacon	pcnt_free_lunch	53
13007	Georgia	Baker	pcnt_free_lunch	80
13009	Georgia	Baldwin	pcnt_free_lunch	66
13011	Georgia	Banks	pcnt_free_lunch	57
13013	Georgia	Barrow	pcnt_free_lunch	51
13015	Georgia	Bartow	pcnt_free_lunch	51
13017	Georgia	Ben Hill	pcnt_free_lunch	73
13019	Georgia	Berrien	pcnt_free_lunch	61
13021	Georgia	Bibb	pcnt_free_lunch	72
13023	Georgia	Bleckley	pcnt_free_lunch	50
13025	Georgia	Brantley	pcnt_free_lunch	55
13027	Georgia	Brooks	pcnt_free_lunch	74
13029	Georgia	Bryan	pcnt_free_lunch	31
13031	Georgia	Bulloch	pcnt_free_lunch	52
13033	Georgia	Burke	pcnt_free_lunch	71
13035	Georgia	Butts	pcnt_free_lunch	55
13037	Georgia	Calhoun	pcnt_free_lunch	74
13039	Georgia	Camden	pcnt_free_lunch	37
13043	Georgia	Candler	pcnt_free_lunch	65
13045	Georgia	Carroll	pcnt_free_lunch	56
13047	Georgia	Catoosa	pcnt_free_lunch	40
13049	Georgia	Charlton	pcnt_free_lunch	62
13051	Georgia	Chatham	pcnt_free_lunch	55
13053	Georgia	Chattahoochee	pcnt_free_lunch	51
13055	Georgia	Chattooga	pcnt_free_lunch	55
13057	Georgia	Cherokee	pcnt_free_lunch	25
13059	Georgia	Clarke	pcnt_free_lunch	74
13061	Georgia	Clay	pcnt_free_lunch	82
13063	Georgia	Clayton	pcnt_free_lunch	74
13065	Georgia	Clinch	pcnt_free_lunch	62
13067	Georgia	Cobb	pcnt_free_lunch	39
13069	Georgia	Coffee	pcnt_free_lunch	67
13071	Georgia	Colquitt	pcnt_free_lunch	66
13073	Georgia	Columbia	pcnt_free_lunch	25
13075	Georgia	Cook	pcnt_free_lunch	61
13077	Georgia	Coweta	pcnt_free_lunch	36
13079	Georgia	Crawford	pcnt_free_lunch	69
13081	Georgia	Crisp	pcnt_free_lunch	72
13083	Georgia	Dade	pcnt_free_lunch	44
13085	Georgia	Dawson	pcnt_free_lunch	37
13087	Georgia	Decatur	pcnt_free_lunch	66
13089	Georgia	DeKalb	pcnt_free_lunch	62
13091	Georgia	Dodge	pcnt_free_lunch	59
13093	Georgia	Dooly	pcnt_free_lunch	75
13095	Georgia	Dougherty	pcnt_free_lunch	75
13097	Georgia	Douglas	pcnt_free_lunch	51
13099	Georgia	Early	pcnt_free_lunch	69
13101	Georgia	Echols	pcnt_free_lunch	64
13103	Georgia	Effingham	pcnt_free_lunch	33
13105	Georgia	Elbert	pcnt_free_lunch	61
13107	Georgia	Emanuel	pcnt_free_lunch	70
13109	Georgia	Evans	pcnt_free_lunch	72
13111	Georgia	Fannin	pcnt_free_lunch	50
13113	Georgia	Fayette	pcnt_free_lunch	19
13115	Georgia	Floyd	pcnt_free_lunch	55
13117	Georgia	Forsyth	pcnt_free_lunch	16
13119	Georgia	Franklin	pcnt_free_lunch	51
13121	Georgia	Fulton	pcnt_free_lunch	51
13123	Georgia	Gilmer	pcnt_free_lunch	58
13125	Georgia	Glascock	pcnt_free_lunch	42
13127	Georgia	Glynn	pcnt_free_lunch	51
13129	Georgia	Gordon	pcnt_free_lunch	53
13131	Georgia	Grady	pcnt_free_lunch	65
13133	Georgia	Greene	pcnt_free_lunch	71
13135	Georgia	Gwinnett	pcnt_free_lunch	46
13137	Georgia	Habersham	pcnt_free_lunch	47
13139	Georgia	Hall	pcnt_free_lunch	56
13141	Georgia	Hancock	pcnt_free_lunch	77
13143	Georgia	Haralson	pcnt_free_lunch	42
13145	Georgia	Harris	pcnt_free_lunch	29
13147	Georgia	Hart	pcnt_free_lunch	54
13149	Georgia	Heard	pcnt_free_lunch	54
13151	Georgia	Henry	pcnt_free_lunch	40
13153	Georgia	Houston	pcnt_free_lunch	43
13155	Georgia	Irwin	pcnt_free_lunch	63
13157	Georgia	Jackson	pcnt_free_lunch	40
13159	Georgia	Jasper	pcnt_free_lunch	63
13161	Georgia	Jeff Davis	pcnt_free_lunch	60
13163	Georgia	Jefferson	pcnt_free_lunch	77
13165	Georgia	Jenkins	pcnt_free_lunch	65
13167	Georgia	Johnson	pcnt_free_lunch	63
13169	Georgia	Jones	pcnt_free_lunch	38
13171	Georgia	Lamar	pcnt_free_lunch	59
13173	Georgia	Lanier	pcnt_free_lunch	65
13175	Georgia	Laurens	pcnt_free_lunch	56
13177	Georgia	Lee	pcnt_free_lunch	35
13179	Georgia	Liberty	pcnt_free_lunch	50
13181	Georgia	Lincoln	pcnt_free_lunch	56
13183	Georgia	Long	pcnt_free_lunch	59
13185	Georgia	Lowndes	pcnt_free_lunch	52
13187	Georgia	Lumpkin	pcnt_free_lunch	46
13189	Georgia	McDuffie	pcnt_free_lunch	62
13191	Georgia	McIntosh	pcnt_free_lunch	71
13193	Georgia	Macon	pcnt_free_lunch	70
13195	Georgia	Madison	pcnt_free_lunch	49
13197	Georgia	Marion	pcnt_free_lunch	64
13199	Georgia	Meriwether	pcnt_free_lunch	53
13201	Georgia	Miller	pcnt_free_lunch	63
13205	Georgia	Mitchell	pcnt_free_lunch	67
13207	Georgia	Monroe	pcnt_free_lunch	48
13209	Georgia	Montgomery	pcnt_free_lunch	73
13211	Georgia	Morgan	pcnt_free_lunch	43
13213	Georgia	Murray	pcnt_free_lunch	63
13215	Georgia	Muscogee	pcnt_free_lunch	55
13217	Georgia	Newton	pcnt_free_lunch	55
13219	Georgia	Oconee	pcnt_free_lunch	17
13221	Georgia	Oglethorpe	pcnt_free_lunch	49
13223	Georgia	Paulding	pcnt_free_lunch	32
13225	Georgia	Peach	pcnt_free_lunch	65
13227	Georgia	Pickens	pcnt_free_lunch	42
13229	Georgia	Pierce	pcnt_free_lunch	48
13231	Georgia	Pike	pcnt_free_lunch	39
13233	Georgia	Polk	pcnt_free_lunch	58
13235	Georgia	Pulaski	pcnt_free_lunch	60
13237	Georgia	Putnam	pcnt_free_lunch	69
13239	Georgia	Quitman	pcnt_free_lunch	93
13241	Georgia	Rabun	pcnt_free_lunch	54
13243	Georgia	Randolph	pcnt_free_lunch	83
13245	Georgia	Richmond	pcnt_free_lunch	68
13247	Georgia	Rockdale	pcnt_free_lunch	54
13249	Georgia	Schley	pcnt_free_lunch	42
13251	Georgia	Screven	pcnt_free_lunch	62
13253	Georgia	Seminole	pcnt_free_lunch	66
13255	Georgia	Spalding	pcnt_free_lunch	64
13257	Georgia	Stephens	pcnt_free_lunch	50
13259	Georgia	Stewart	pcnt_free_lunch	83
13261	Georgia	Sumter	pcnt_free_lunch	77
13263	Georgia	Talbot	pcnt_free_lunch	79
13265	Georgia	Taliaferro	pcnt_free_lunch	82
13267	Georgia	Tattnall	pcnt_free_lunch	64
13269	Georgia	Taylor	pcnt_free_lunch	71
13271	Georgia	Telfair	pcnt_free_lunch	67
13273	Georgia	Terrell	pcnt_free_lunch	78
13275	Georgia	Thomas	pcnt_free_lunch	57
13277	Georgia	Tift	pcnt_free_lunch	60
13279	Georgia	Toombs	pcnt_free_lunch	63
13281	Georgia	Towns	pcnt_free_lunch	47
13283	Georgia	Treutlen	pcnt_free_lunch	63
13285	Georgia	Troup	pcnt_free_lunch	56
13287	Georgia	Turner	pcnt_free_lunch	71
13289	Georgia	Twiggs	pcnt_free_lunch	77
13291	Georgia	Union	pcnt_free_lunch	34
13293	Georgia	Upson	pcnt_free_lunch	57
13295	Georgia	Walker	pcnt_free_lunch	54
13297	Georgia	Walton	pcnt_free_lunch	43
