FIPS	State	County	Variable	rec_facility_rate
13279	Georgia	Toombs	rec_facility_rate	0
13281	Georgia	Towns	rec_facility_rate	0
13283	Georgia	Treutlen	rec_facility_rate	0
13285	Georgia	Troup	rec_facility_rate	7.4
13287	Georgia	Turner	rec_facility_rate	0
13289	Georgia	Twiggs	rec_facility_rate	0
13291	Georgia	Union	rec_facility_rate	4.7
13293	Georgia	Upson	rec_facility_rate	3.7
13295	Georgia	Walker	rec_facility_rate	7.3
13297	Georgia	Walton	rec_facility_rate	3.6
13299	Georgia	Ware	rec_facility_rate	11
13301	Georgia	Warren	rec_facility_rate	0
13303	Georgia	Washington	rec_facility_rate	0
13305	Georgia	Wayne	rec_facility_rate	10
13307	Georgia	Webster	rec_facility_rate	0
13309	Georgia	Wheeler	rec_facility_rate	0
13311	Georgia	White	rec_facility_rate	7.4
13313	Georgia	Whitfield	rec_facility_rate	5.8
13315	Georgia	Wilcox	rec_facility_rate	0
13317	Georgia	Wilkes	rec_facility_rate	0
13319	Georgia	Wilkinson	rec_facility_rate	0
13321	Georgia	Worth	rec_facility_rate	9.2
15001	Hawaii	Hawaii	rec_facility_rate	7.6
15003	Hawaii	Honolulu	rec_facility_rate	5
15005	Hawaii	Kalawao	rec_facility_rate	0
15007	Hawaii	Kauai	rec_facility_rate	6
15009	Hawaii	Maui	rec_facility_rate	9
